[2026-03-18 13:36:50] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260318_133650.log
[2026-03-18 13:36:51] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-18 13:36:51] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-18 13:36:51] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-18 13:36:51] [DEBUG   ] [account_manager] accounts.json no encontrado, iniciando lista vacía.
[2026-03-18 13:36:51] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-18 13:36:51] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-18 13:36:51] [INFO    ] [app] Interfaz iniciada
[2026-03-18 13:36:52] [INFO    ] [installer] Manifest cargado: 872 versiones disponibles
[2026-03-18 13:36:52] [INFO    ] [version_manager] Caché actualizado: 872 versiones disponibles
