[2026-03-19 16:37:27] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260319_163727.log
[2026-03-19 16:37:28] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-19 16:37:28] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-19 16:37:28] [INFO    ] [profile_manager] Perfiles cargados: 2
[2026-03-19 16:37:28] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-19 16:37:28] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-19 16:37:28] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-19 16:37:28] [INFO    ] [app] Interfaz iniciada
[2026-03-19 16:37:29] [INFO    ] [installer] Manifest cargado: 873 versiones disponibles
[2026-03-19 16:37:29] [INFO    ] [version_manager] Caché actualizado: 873 versiones disponibles
