[2026-03-26 16:04:05] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260326_160405.log
[2026-03-26 16:04:06] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-26 16:04:06] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-26 16:04:06] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-26 16:04:06] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-26 16:04:06] [INFO    ] [app] Interfaz Flet iniciada
[2026-03-26 16:04:06] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-26 16:04:07] [INFO    ] [installer] Manifest cargado: 876 versiones disponibles
[2026-03-26 16:04:07] [INFO    ] [version_manager] Caché actualizado: 876 versiones disponibles
