[2026-03-18 13:37:12] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260318_133712.log
[2026-03-18 13:37:13] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-18 13:37:13] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-18 13:37:13] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-18 13:37:13] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-18 13:37:15] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-18 13:37:15] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-18 13:37:15] [INFO    ] [app] Interfaz iniciada
[2026-03-18 13:37:17] [INFO    ] [installer] Manifest cargado: 872 versiones disponibles
[2026-03-18 13:37:17] [INFO    ] [version_manager] Caché actualizado: 872 versiones disponibles
