[2026-03-23 19:00:17] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260323_190017.log
[2026-03-23 19:00:18] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-23 19:00:18] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-23 19:00:18] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-23 19:00:18] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-23 19:00:18] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-23 19:00:18] [INFO    ] [app] Interfaz iniciada
[2026-03-23 19:00:19] [INFO    ] [installer] Manifest cargado: 875 versiones disponibles
[2026-03-23 19:00:19] [INFO    ] [version_manager] Caché actualizado: 875 versiones disponibles
