[2026-03-21 20:09:50] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260321_200950.log
[2026-03-21 20:09:51] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-21 20:09:51] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-21 20:09:51] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-21 20:09:51] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-21 20:09:51] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-21 20:09:51] [INFO    ] [app] Interfaz iniciada
[2026-03-21 20:09:52] [INFO    ] [installer] Manifest cargado: 874 versiones disponibles
[2026-03-21 20:09:52] [INFO    ] [version_manager] Caché actualizado: 874 versiones disponibles
