[2026-03-19 15:44:59] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260319_154459.log
[2026-03-19 15:45:00] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-19 15:45:00] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-19 15:45:00] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-19 15:45:00] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-19 15:45:00] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-19 15:45:00] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-19 15:45:00] [INFO    ] [app] Interfaz iniciada
[2026-03-19 15:45:01] [INFO    ] [installer] Manifest cargado: 873 versiones disponibles
[2026-03-19 15:45:01] [INFO    ] [version_manager] Caché actualizado: 873 versiones disponibles
