[2026-03-23 19:05:21] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260323_190521.log
[2026-03-23 19:05:22] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-23 19:05:22] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-23 19:05:22] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-23 19:05:22] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-23 19:05:22] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-23 19:05:22] [INFO    ] [app] Interfaz iniciada
[2026-03-23 19:05:23] [INFO    ] [installer] Manifest cargado: 875 versiones disponibles
[2026-03-23 19:05:23] [INFO    ] [version_manager] Caché actualizado: 875 versiones disponibles
